Symbol,Name,FCF_z,PBR_z,PER_z,ROA_z,ROE_z,ROIC_z,매출총이익률_z,영업이익률_z,총자산회전율_z,CFO_NI_z,Accruals_z,SalesGrowth_z,EBITGrowth_z,부채비율_z,이자보상배율_z,NIGrowth_z,SalesCAGR3Y_z,EV_EBITDA_z,유동비율_z,FinalScore
A008810,LG종합금융,,,,,,,-1.5732422597148386,-1.1982288913198111,,,0.21455716541317663,,,,,,,,,-0.8523046618738244
A012500,제일종합금융,,,,,,,-1.5732422597148386,-1.1982288913198111,,,0.21455716541317663,,,,,,,,,-0.8523046618738244
A003500,삼진화학,,0.833833898301743,-0.5317743114256042,-2.322207632434595,-2.4467532723795147,-2.3064786077963175,-1.2636155334760222,-1.2074110290521614,-0.9678533642745245,0.052856881446809084,-0.7117879405921759,-0.41594981071133813,-1.007627945025466,0.6641302026464299,0.2589176847086312,-1.1977950860951883,,-1.0334123114725855,-0.769945803729518,-0.8454631753741998
A004730,진로종합식품,,,,-2.01251203674661,-2.4894271270323136,-1.30390985498306,-1.0545954288669652,-1.343026346614818,-0.8005132669641066,-1.150186663637259,-0.20923568382455404,-0.7856440359775374,-2.375610737201024,2.2459116111338067,-1.4143176886880984,-0.26845599795914576,,2.390738812254166,-0.14584976113624612,-0.7144422804162508
A002350,넥센타이어,,-1.0201168630064719,,-1.5287950368543823,-1.6968849715423957,-1.4808307763792348,-0.9975546571890496,-1.0863883901170917,-1.6176545582490836,-1.055707566535232,-1.1509882869625754,-0.8772077604347781,0.19632109485852145,0.1683253243114422,-0.8802488669847444,0.33142384787707646,,1.4256139484398058,0.3097513071634385,-0.6850588882252973
A010050,우리종금,,,,,,,-1.5339413096684218,-0.7044189345007685,,,0.21455716541317663,,,,,,,,,-0.6746010262520046
A002420,세기상사,,-0.9702826374436642,1.0000000000000002,-1.395900132817919,-1.316101172343871,-1.3040184655812648,-0.41624992782162457,-0.5248446185087378,-1.2871851938071182,-0.8696780117380382,0.17188127719832488,-0.19704413488537287,0.1707197597147041,-1.2237886467091912,-1.089739486727743,-1.4085967363926348,,-0.4179653927192615,-0.30441412945426727,-0.6696004500022165
A003960,사조대림,,-0.4472080949945037,-0.5367641047762532,-1.3984362408706006,-0.5962040329942951,-1.2101788080924216,-1.454749349869492,-0.30387816437713705,-0.7833799491932609,-0.42625269614664,-0.2826186009588556,-0.4922339472170093,-1.8412735134494689,0.09625273276789977,-0.04475582419844776,-1.1949337110839604,,1.0451816531102118,-0.6997259528902008,-0.6218328591314374
A002250,알보젠코리아,,0.06011873384953701,-0.1318412160682011,-1.5838636210097632,-1.0503340734384192,-0.7649641709067844,-0.06266096768407713,-2.0056342235008175,-0.8862973905351057,-0.4891332843818532,-0.7782149242563609,-0.6965686148291864,1.350541095611189,1.057457909595267,-0.9843990327345363,-1.825165158222852,,0.47854394154603924,-1.7729559827742,-0.5932571164553013
A006380,카프로,,-0.22939327587699707,0.3467247454244738,-1.1900857612566007,-1.3981832287288039,-1.7772083456419612,-1.4791298347649817,-1.9500831359690087,0.46521951061107664,0.057709786840369676,-0.6527316572490539,-0.9977869567939535,-2.5023305503907616,-1.0446370731226982,-1.3518672584679858,-0.3959314579411917,,1.5067984959510188,2.7865552383588668,-0.5768447505304818
