Symbol,Name,Scenario,r,g,payout_DDM,payout_RIM,DDM_price,RIM_price,cheap_mean_3y
A013340,AJS,Conservative,0.095,-0.071735808191117,0.25,0.25,,,0.8128539999326516
A013340,AJS,Base,0.08,-0.061735808191117,0.3,0.3,,,0.8128539999326516
A013340,AJS,Optimistic,0.065,-0.051735808191117,0.35,0.35,,,0.8128539999326516
A155660,DSR,Conservative,0.095,0.04,0.3,0.3,0.006457022655909091,-0.6105510876790797,0.7336096077946476
A155660,DSR,Base,0.08,0.05,0.35,0.35,0.013943650687239581,-1.5087312905083285,0.7336096077946476
A155660,DSR,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.031871201570833334,-3.235995609749645,0.7336096077946476
A069730,DSR제강,Conservative,0.095,0.04,0.3,0.3,0.00649878214949495,-0.6020214264597652,0.7442643171552078
A069730,DSR제강,Base,0.08,0.05,0.35,0.35,0.014033828439814816,-1.4900261234945158,0.7442643171552078
A069730,DSR제강,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.03207732214814815,-3.195802945453777,0.7442643171552078
A008970,KBI동양철관,Conservative,0.095,0.04,0.2,0.2,-1.4442373982109273e-05,-0.033864527145396006,0.1673394242730041
A008970,KBI동양철관,Base,0.08,0.05,0.25,0.25,-3.341534845620234e-05,-0.08313782459216813,0.1673394242730041
A008970,KBI동양철관,Optimistic,0.065,0.05,0.3,0.3,-8.019683629488561e-05,-0.17832049020499138,0.1673394242730041
A024840,KBI메탈,Conservative,0.095,0.04,0.3,0.3,0.00012892427475413718,-0.16576950925082912,0.37572011528003313
A024840,KBI메탈,Base,0.08,0.05,0.35,0.35,0.00027840618626794847,-0.40716444476324964,0.37572011528003313
A024840,KBI메탈,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.0006363569971838822,-0.873314816431291,0.37572011528003313
A016380,KG스틸,Conservative,0.095,0.04,0.3,0.3,0.018164230165256742,-0.8251692506312267,0.7009692667382316
A016380,KG스틸,Base,0.08,0.05,0.35,0.35,0.03922483998026196,-2.0499196850419725,0.7009692667382316
A016380,KG스틸,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.08965677709774161,-4.396808765286773,0.7009692667382316
A001940,KISCO홀딩스,Conservative,0.095,0.04,0.2,0.2,0.034298027955357434,-4.49056942763145,0.8114471322257376
A001940,KISCO홀딩스,Base,0.08,0.05,0.25,0.25,0.07935541323805656,-11.06226914368901,0.8114471322257376
A001940,KISCO홀딩스,Optimistic,0.065,0.05,0.3,0.3,0.19045299177133573,-23.723817692179175,0.8114471322257376
A000170,LG금속,Conservative,0.095,-0.01,0.25,0.25,,,
A000170,LG금속,Base,0.08,0.0,0.3,0.3,,,
A000170,LG금속,Optimistic,0.065,0.01,0.35,0.35,,,
A008260,NI스틸,Conservative,0.095,0.04,0.3,0.3,0.008003538329987823,-0.3374738125892137,0.6876394631882912
A008260,NI스틸,Base,0.08,0.05,0.35,0.35,0.017283281890478515,-0.8485057828366683,0.6876394631882912
A008260,NI스틸,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.03950464432109374,-1.819603713805482,0.6876394631882912
A005490,POSCO홀딩스,Conservative,0.095,0.04,0.2,0.2,0.18784684501322016,-32.421426503124636,0.5303211318531192
A005490,POSCO홀딩스,Base,0.08,0.05,0.25,0.25,0.4346216065510202,-79.69052291518793,0.5303211318531192
A005490,POSCO홀딩스,Optimistic,0.065,0.05,0.3,0.3,1.0430918557224484,-170.9194979806033,0.5303211318531192
A001770,SHD,Conservative,0.095,0.04,0.2,0.2,0.01735131180639313,-1.9337862548417075,0.43562953669087195
A001770,SHD,Base,0.08,0.05,0.25,0.25,0.04014576349435911,-4.755852299406319,0.43562953669087195
A001770,SHD,Optimistic,0.065,0.05,0.3,0.3,0.09634983238646185,-10.200118588213828,0.43562953669087195
A009160,SIMPAC,Conservative,0.095,0.04,0.2,0.2,0.0030924159867228634,-0.4010812707563299,0.6540142690667508
A009160,SIMPAC,Base,0.08,0.05,0.25,0.25,0.0071549288154345095,-0.98965730789221,0.6540142690667508
A009160,SIMPAC,Optimistic,0.065,0.05,0.3,0.3,0.017171829157042823,-2.122212216639813,0.6540142690667508
A090730,SIMPAC Metal,Conservative,0.095,0.04,0.25,0.25,,,
A090730,SIMPAC Metal,Base,0.08,0.05,0.3,0.3,,,
A090730,SIMPAC Metal,Optimistic,0.065,0.05,0.35,0.35,,,
A100090,SK오션플랜트,Conservative,0.095,0.04,0.2,0.2,-2.659728302837142e-05,-0.5454342673570396,0.17485031238735896
A100090,SK오션플랜트,Base,0.08,0.05,0.25,0.25,-6.153818489136417e-05,-1.3391587368842974,0.17485031238735896
A100090,SK오션플랜트,Optimistic,0.065,0.05,0.3,0.3,-0.000147691643739274,-2.872323875701987,0.17485031238735896
A002710,TCC스틸,Conservative,0.095,0.04,0.2,0.2,0.0024043371528505372,-0.40622888256547196,0.2649317248132759
A002710,TCC스틸,Base,0.08,0.05,0.25,0.25,0.005562919494275582,-1.0012091728246921,0.2649317248132759
A002710,TCC스틸,Optimistic,0.065,0.05,0.3,0.3,0.013351006786261397,-2.1470946691305834,0.2649317248132759
A000900,강원산업,Conservative,0.095,-0.01,0.25,0.25,,,
A000900,강원산업,Base,0.08,0.0,0.3,0.3,,,
A000900,강원산업,Optimistic,0.065,0.01,0.35,0.35,,,
A039240,경남스틸,Conservative,0.095,0.04,0.2,0.2,0.001137373984414076,-0.17988603549384807,0.39915674417816743
A039240,경남스틸,Base,0.08,0.05,0.25,0.25,0.0026315443749965104,-0.4439558504093969,0.39915674417816743
A039240,경남스틸,Optimistic,0.065,0.05,0.3,0.3,0.006315706499991624,-0.9519978718828546,0.39915674417816743
A010130,고려아연,Conservative,0.095,0.04,0.3,0.3,0.1937837103853124,-21.02450468997087,0.2943615132657677
A010130,고려아연,Base,0.08,0.05,0.35,0.35,0.4184672271541803,-51.76302913668814,0.2943615132657677
A010130,고려아연,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.9564965192095549,-111.02758366146242,0.2943615132657677
A002240,고려제강,Conservative,0.095,0.04,0.3,0.3,0.02194678277149091,-3.293454684252,0.7560998119390234
A002240,고려제강,Base,0.08,0.05,0.35,0.35,0.047393092603500005,-8.098811468103483,0.7560998119390234
A002240,고려제강,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.108327068808,-17.371240285234094,0.7560998119390234
A026910,광진실업,Conservative,0.095,0.04,0.25,0.25,-0.0006980146979564347,-0.16023895394004106,0.25602930941606683
A026910,광진실업,Base,0.08,0.05,0.3,0.3,-0.00155039803103785,-0.39249936709627004,0.25602930941606683
A026910,광진실업,Optimistic,0.065,0.05,0.35,0.35,-0.0036175954057549842,-0.8419007292690158,0.25602930941606683
