Symbol,Name,Model,r,g,payout,Price
A016610,DB증권,DDM,0.06,-0.1,0.25,0.0016577671120106944
A016610,DB증권,RIM,0.06,-0.1,0.25,1.2942746456224905
A016610,DB증권,DDM,0.06,-0.1,0.25,0.0016577671120106944
A016610,DB증권,RIM,0.06,-0.1,0.25,1.2942746456224905
A016610,DB증권,DDM,0.06,-0.1,0.25,0.0016577671120106944
A016610,DB증권,RIM,0.06,-0.1,0.25,1.2942746456224905
A016610,DB증권,DDM,0.06,-0.1,0.25,0.0016577671120106944
A016610,DB증권,RIM,0.06,-0.1,0.25,1.2942746456224905
A016610,DB증권,DDM,0.06,-0.1,0.25,0.0016577671120106944
A016610,DB증권,RIM,0.06,-0.1,0.25,1.2942746456224905
A016610,DB증권,DDM,0.07,-0.1,0.25,0.001560251399539477
A016610,DB증권,RIM,0.07,-0.1,0.25,1.1622993251537532
A016610,DB증권,DDM,0.07,-0.1,0.25,0.001560251399539477
A016610,DB증권,RIM,0.07,-0.1,0.25,1.1622993251537532
A016610,DB증권,DDM,0.07,-0.1,0.25,0.001560251399539477
A016610,DB증권,RIM,0.07,-0.1,0.25,1.1622993251537532
A016610,DB증권,DDM,0.07,-0.1,0.25,0.001560251399539477
A016610,DB증권,RIM,0.07,-0.1,0.25,1.1622993251537532
A016610,DB증권,DDM,0.07,-0.1,0.25,0.001560251399539477
A016610,DB증권,RIM,0.07,-0.1,0.25,1.1622993251537532
A016610,DB증권,DDM,0.08,-0.1,0.25,0.0014735707662317285
A016610,DB증권,RIM,0.08,-0.1,0.25,1.0478644419009118
A016610,DB증권,DDM,0.08,-0.1,0.25,0.0014735707662317285
A016610,DB증권,RIM,0.08,-0.1,0.25,1.0478644419009118
A016610,DB증권,DDM,0.08,-0.1,0.25,0.0014735707662317285
A016610,DB증권,RIM,0.08,-0.1,0.25,1.0478644419009118
A016610,DB증권,DDM,0.08,-0.1,0.25,0.0014735707662317285
A016610,DB증권,RIM,0.08,-0.1,0.25,1.0478644419009118
A016610,DB증권,DDM,0.08,-0.1,0.25,0.0014735707662317285
A016610,DB증권,RIM,0.08,-0.1,0.25,1.0478644419009118
A016610,DB증권,DDM,0.09,-0.1,0.25,0.001396014410114269
A016610,DB증권,RIM,0.09,-0.1,0.25,0.9480286230070017
A016610,DB증권,DDM,0.09,-0.1,0.25,0.001396014410114269
A016610,DB증권,RIM,0.09,-0.1,0.25,0.9480286230070017
A016610,DB증권,DDM,0.09,-0.1,0.25,0.001396014410114269
A016610,DB증권,RIM,0.09,-0.1,0.25,0.9480286230070017
A016610,DB증권,DDM,0.09,-0.1,0.25,0.001396014410114269
A016610,DB증권,RIM,0.09,-0.1,0.25,0.9480286230070017
A016610,DB증권,DDM,0.09,-0.1,0.25,0.001396014410114269
A016610,DB증권,RIM,0.09,-0.1,0.25,0.9480286230070017
A016610,DB증권,DDM,0.1,-0.1,0.25,0.0013262136896085555
A016610,DB증권,RIM,0.1,-0.1,0.25,0.8604504278695342
A016610,DB증권,DDM,0.1,-0.1,0.25,0.0013262136896085555
A016610,DB증권,RIM,0.1,-0.1,0.25,0.8604504278695342
A016610,DB증권,DDM,0.1,-0.1,0.25,0.0013262136896085555
A016610,DB증권,RIM,0.1,-0.1,0.25,0.8604504278695342
A016610,DB증권,DDM,0.1,-0.1,0.25,0.0013262136896085555
A016610,DB증권,RIM,0.1,-0.1,0.25,0.8604504278695342
A016610,DB증권,DDM,0.1,-0.1,0.25,0.0013262136896085555
A016610,DB증권,RIM,0.1,-0.1,0.25,0.8604504278695342
A030610,교보증권,DDM,0.06,-0.07686385332020079,0.25,0.0012536914308837268
A030610,교보증권,RIM,0.06,-0.07686385332020079,0.25,0.6937489351278249
A030610,교보증권,DDM,0.06,-0.0718638533202008,0.25,0.0013082766436903126
A030610,교보증권,RIM,0.06,-0.0718638533202008,0.25,0.6733597854919954
A030610,교보증권,DDM,0.06,-0.0668638533202008,0.25,0.0013671645172925481
A030610,교보증권,RIM,0.06,-0.0668638533202008,0.25,0.6513633427940987
A030610,교보증권,DDM,0.06,-0.0618638533202008,0.25,0.0014308846583799993
A030610,교보증권,RIM,0.06,-0.0618638533202008,0.25,0.6275617677153401
A030610,교보증권,DDM,0.06,-0.056863853320200795,0.25,0.0015000573101691872
A030610,교보증권,RIM,0.06,-0.056863853320200795,0.25,0.6017233628492746
A030610,교보증권,DDM,0.07,-0.07686385332020079,0.25,0.0011683272379566653
A030610,교보증권,RIM,0.07,-0.07686385332020079,0.25,0.616885564167078
A030610,교보증권,DDM,0.07,-0.0718638533202008,0.25,0.0012160560664910309
A030610,교보증권,RIM,0.07,-0.0718638533202008,0.25,0.5972149287673977
A030610,교보증권,DDM,0.07,-0.0668638533202008,0.25,0.0012672722167233108
A030610,교보증권,RIM,0.07,-0.0668638533202008,0.25,0.5761069380579202
A030610,교보증권,DDM,0.07,-0.0618638533202008,0.25,0.0013223723843676946
A030610,교보증권,RIM,0.07,-0.0618638533202008,0.25,0.5533980870627777
A030610,교보증권,DDM,0.07,-0.056863853320200795,0.25,0.0013818158039473095
A030610,교보증권,RIM,0.07,-0.056863853320200795,0.25,0.5288990943563396
A030610,교보증권,DDM,0.08,-0.07686385332020079,0.25,0.0010938469027342607
A030610,교보증권,RIM,0.08,-0.07686385332020079,0.25,0.5513352739232419
A030610,교보증권,DDM,0.08,-0.0718638533202008,0.25,0.0011359806542119147
A030610,교보증권,RIM,0.08,-0.0718638533202008,0.25,0.532559614670405
A030610,교보증권,DDM,0.08,-0.0668638533202008,0.25,0.0011809833043685237
A030610,교보증권,RIM,0.08,-0.0668638533202008,0.25,0.5125054109879424
A030610,교보증권,DDM,0.08,-0.0618638533202008,0.25,0.0012291581967209678
A030610,교보증권,RIM,0.08,-0.0618638533202008,0.25,0.49103747527841574
A030610,교보증권,DDM,0.08,-0.056863853320200795,0.25,0.0012808530025628952
A030610,교보증권,RIM,0.08,-0.056863853320200795,0.25,0.4680008648949882
A030610,교보증권,DDM,0.09,-0.07686385332020079,0.25,0.0010282936459342252
A030610,교보증권,RIM,0.09,-0.07686385332020079,0.25,0.4949744190752557
A030610,교보증권,DDM,0.09,-0.0718638533202008,0.25,0.001065799410474642
A030610,교보증권,RIM,0.09,-0.0718638533202008,0.25,0.47717788959525276
A030610,교보증권,DDM,0.09,-0.0668638533202008,0.25,0.0011056961506124684
A030610,교보증권,RIM,0.09,-0.0668638533202008,0.25,0.4582467430770153
A030610,교보증권,DDM,0.09,-0.0618638533202008,0.25,0.0011482200294186194
A030610,교보증권,RIM,0.09,-0.0618638533202008,0.25,0.43806890990925984
A030610,교보증권,DDM,0.09,-0.056863853320200795,0.25,0.0011936393707803823
A030610,교보증권,RIM,0.09,-0.056863853320200795,0.25,0.4165170587779885
A030610,교보증권,DDM,0.1,-0.07686385332020079,0.25,0.0009701532386870436
A030610,교보증권,RIM,0.1,-0.07686385332020079,0.25,0.44616568758853026
A030610,교보증권,DDM,0.1,-0.0718638533202008,0.25,0.0010037852411257828
A030610,교보증권,RIM,0.1,-0.0718638533202008,0.25,0.429375362743838
A030610,교보증권,DDM,0.1,-0.0668638533202008,0.25,0.0010394327790906141
A030610,교보증권,RIM,0.1,-0.0668638533202008,0.25,0.4115787199432951
A030610,교보증권,DDM,0.1,-0.0618638533202008,0.25,0.001077282633213971
A030610,교보증권,RIM,0.1,-0.0618638533202008,0.25,0.3926825028068536
A030610,교보증권,DDM,0.1,-0.056863853320200795,0.25,0.0011175453984906764
A030610,교보증권,RIM,0.1,-0.056863853320200795,0.25,0.37258156484841265
A030210,다올투자증권,DDM,0.06,-0.1,0.25,0.0019895326596413303
A030210,다올투자증권,RIM,0.06,-0.1,0.25,0.6431395594122837
A030210,다올투자증권,DDM,0.06,-0.1,0.25,0.0019895326596413303
A030210,다올투자증권,RIM,0.06,-0.1,0.25,0.6431395594122837
A030210,다올투자증권,DDM,0.06,-0.1,0.25,0.0019895326596413303
A030210,다올투자증권,RIM,0.06,-0.1,0.25,0.6431395594122837
A030210,다올투자증권,DDM,0.06,-0.1,0.25,0.0019895326596413303
A030210,다올투자증권,RIM,0.06,-0.1,0.25,0.6431395594122837
A030210,다올투자증권,DDM,0.06,-0.1,0.25,0.0019895326596413303
A030210,다올투자증권,RIM,0.06,-0.1,0.25,0.6431395594122837
A030210,다올투자증권,DDM,0.07,-0.1,0.25,0.001872501326721252
A030210,다올투자증권,RIM,0.07,-0.1,0.25,0.5776043161889362
A030210,다올투자증권,DDM,0.07,-0.1,0.25,0.001872501326721252
A030210,다올투자증권,RIM,0.07,-0.1,0.25,0.5776043161889362
A030210,다올투자증권,DDM,0.07,-0.1,0.25,0.001872501326721252
A030210,다올투자증권,RIM,0.07,-0.1,0.25,0.5776043161889362
A030210,다올투자증권,DDM,0.07,-0.1,0.25,0.001872501326721252
A030210,다올투자증권,RIM,0.07,-0.1,0.25,0.5776043161889362
A030210,다올투자증권,DDM,0.07,-0.1,0.25,0.001872501326721252
A030210,다올투자증권,RIM,0.07,-0.1,0.25,0.5776043161889362
A030210,다올투자증권,DDM,0.08,-0.1,0.25,0.0017684734752367382
A030210,다올투자증권,RIM,0.08,-0.1,0.25,0.5207785123952507
A030210,다올투자증권,DDM,0.08,-0.1,0.25,0.0017684734752367382
A030210,다올투자증권,RIM,0.08,-0.1,0.25,0.5207785123952507
A030210,다올투자증권,DDM,0.08,-0.1,0.25,0.0017684734752367382
